Title,Main Story,Main + Extras,Completionist
Duelyst,0.0,16.0,80.9
Card Hunter,32.95,36.12,0.0
Wolfenstein: The New Order,11.38,15.34,24.62
Tabletop Simulator,7.48,146.19,1256.99
S.T.A.L.K.E.R.: Clear Sky,12.73,22.54,36.02
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,12.73,22.54,36.02
BattleBlock Theater,10.16,17.11,41.99
Hitman: Absolution,12.38,19.77,37.01
Hitman: Sniper Challenge,0.6,1.54,3.01
Robocraft,58.13,194.83,0.0
Zombie Army Trilogy,13.4,19.72,33.0
Boson X,3.43,5.13,8.08
Trove,51.67,97.71,944.62
Unturned,20.75,62.62,104.61
Floating Point,0.8,2.31,8.0
Zoo Park,0.0,2.83,8.33
The Way of Life Free Edition,0.42,0.55,0.57
Wasteland 2,40.77,65.16,99.52

Wasteland 2: Director's Cut,40.77,65.16,99.52
Enter the Gungeon,22.6,61.89,159.51
Warface: Clutch,0.0,0.0,0.0
The Expendabros,1.07,1.2,1.26
Heroes & Generals,300.0,0.0,0.0
Murder Miners,0.0,0.0,11.0
Republique,11.54,14.82,20.84
Portal Stories: Mel,7.66,9.33,12.21
Surgeon Simulator,3.26,6.43,15.23
Deus Ex: Human Revolution - Director's Cut,23.3,31.12,46.26
UNLOVED,8.0,0.0,131.22
Supraball,0.34,0.0,0.0
Altitude,0.82,0.0,13.64
Geometry Dash,18.14,208.35,1184.77
"Guns, Gore & Cannoli",3.69,5.23,8.11
SUPERHOT,2.4,5.07,20.05
SUPERHOT: MIND CONTROL DELETE,7.16,12.05,14.18
Alien: Isolation,18.34,22.52,34.06
CLANNAD,6.16,6.66,6.74

Heavy Bullets,7.4,15.6,15.75
Outlast,5.15,7.24,11.47
Super Life of Pixel,2.87,6.45,10.96

Borderlands: The Pre-Sequel,18.19,29.34,59.01

Tales from the Borderlands,10.59,11.05,11.6
Counter-Strike 2,118.17,355.34,770.81
AER Memories of Old,3.05,3.98,4.41
Dirty Bomb,147.2,0.0,233.0
Town of Salem,21.12,55.92,220.06

Nuclear Throne,16.4,56.33,194.2
Hotline Miami,5.23,7.33,15.39
Hotline Miami 2: Wrong Number,8.8,12.81,33.28

Resident Evil,11.48,13.71,23.73
Tacoma,2.51,3.14,3.56
Besiege,5.97,12.6,16.86

AdVenture Capitalist,43.77,109.47,188.93
Ghost Song,9.53,12.47,19.92
Google Earth VR,0.56,0.0,0.0
Wolfenstein: The Old Blood ,5.92,8.51,15.87
Q.U.B.E. 2,5.29,6.99,7.82
Mafia III: Definitive Edition,25.07,41.14,72.16
Downwell,6.51,11.99,14.3
Black Mesa,15.17,18.42,26.53
Clicker Heroes,298.73,786.42,1110.74
Downfall,4.6,5.8,9.81
Roguelands,22.5,90.52,120.0
NOT A HERO,5.08,6.56,10.15
Hollow Knight,27.03,41.73,64.6
BEEP,5.16,5.36,6.91
Out There Somewhere,1.57,2.1,4.77
Polarity,1.23,1.64,3.1
Camera Obscura,8.26,12.38,19.95
No Time To Explain Remastered,2.52,3.19,6.4
Don't Starve Together,34.98,105.29,211.8
Kingdom Come: Deliverance,41.82,79.6,135.22
Teeworlds,0.0,0.0,0.0
